timestamp,home,pts_home,away,pts_away,tv,notes
2013-10-05 13:00:00,South Alabama,33.0,Troy,34.0,,
2013-10-05 15:30:00,North Texas,21.0,Tulane,24.0,,
2013-10-05 12:30:00,North Carolina,17.0,Virginia Tech,27.0,,
2013-10-05 15:30:00,North Carolina State,13.0,Wake Forest,28.0,,
2013-10-05 16:00:00,Washington State,44.0,California,22.0,,
2013-10-10 19:30:00,Rutgers,10.0,Louisville,24.0,,
2013-10-10 21:00:00,San Diego State,27.0,Air Force,20.0,,
2013-10-10 22:30:00,Arizona,31.0,Southern California,38.0,,
2013-10-11 20:30:00,Temple,20.0,Cincinnati,38.0,,
2013-10-12 19:00:00,Alabama,48.0,Kentucky,7.0,,
2013-10-12 19:30:00,Alabama-Birmingham,27.0,Florida International,24.0,,
2013-10-12 22:00:00,Colorado,13.0,Arizona State,54.0,,
2013-10-12 19:00:00,Idaho,24.0,Arkansas State,48.0,,
2013-10-12 12:00:00,Eastern Michigan,25.0,Army,50.0,,
2013-10-12 14:00:00,Western Carolina,3.0,Auburn,62.0,,
2013-10-12 15:00:00,Kent State,24.0,Ball State,27.0,,
2013-10-12 15:30:00,Baylor,35.0,Kansas State,25.0,,
2013-10-12 20:00:00,Boise State,34.0,Utah State,23.0,,
